"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","2.4171598003454458E-4","17281","AIRN","false","AIRN"
"0.0","6.258606348796464E-6","19559","OR51B2","false","OR51B2"
"0.0","3.7469857157307465E-4","16491","FECD3","false","FECD3"
"0.0","1.3323774704210203E-4","18578","LCN1P1","false","LCN1P1"
"0.0","9.292925481633492E-5","19098","MIR302A","false","MIR302A"
"0.0","1.3612264437026255E-4","18438","ACTA2-AS1","false","ACTA2-AS1"
"0.0","9.292925481633492E-5","19097","MIR378A","false","MIR378A"
"0.0","1.6121465856335174E-4","17870","LIPI","false","LIPI"
"0.0","2.3162686553340249E-4","17337","USP17L18","false","USP17L18"
"0.0","1.4775604235508973E-4","18327","GPER1","false","GPER1"
"0.0","1.3822304582359742E-4","18418","SPATA31D3","false","SPATA31D3"
"0.0","1.5509550161590943E-5","19513","HMX2","false","HMX2"
"0.0","8.314829735119821E-5","19174","TMEM158","false","TMEM158"
"0.0","2.1255220590463099E-4","17462","TAS2R20","false","TAS2R20"
"0.0","1.418632577915923E-4","18397","ZNF682","false","ZNF682"
"0.0","2.001997884746976E-4","17555","OPN5","false","OPN5"
"0.0","6.575558968943234E-5","19271","MAS1L","false","MAS1L"
"0.0","7.928901789579725E-5","19193","RPSAP52","false","RPSAP52"
"0.0","1.418632577915923E-4","18396","ZNF527","false","ZNF527"
"0.0","7.609159323175724E-5","19215","SLC35E2B","false","SLC35E2B"
"0.0","1.229400490530998E-4","18796","S100A5","false","S100A5"
"0.0","8.989049583019802E-5","19123","OR3A1","false","OR3A1"
"0.0","4.310010886762953E-5","19398","TMEM151A","false","TMEM151A"
"0.0","1.110177881593563E-6","19606","GPR65","false","GPR65"
"0.0","2.035553201220009E-4","17521","ADAMTS14","false","ADAMTS14"
"0.0","1.88513300951248E-4","17627","GPR83","false","GPR83"
"0.0","0.008102928022801298","6698","COX7B2","false","COX7B2"
"0.0","1.0571559943076987E-4","18919","FAM181A","false","FAM181A"
"0.0","5.655803692199937E-4","15617","GLYATL1","false","GLYATL1"
"0.0","4.041299233926938E-4","16335","MRGPRX4","false","MRGPRX4"
"0.0","1.8770709763020818E-4","17633","EPHX3","false","EPHX3"
"0.0","1.1339654438915128E-4","18874","SGPP2","false","SGPP2"
"0.0","1.418632577915923E-4","18395","ZNF799","false","ZNF799"
"0.0","0.004991144566537334","9132","CALHM2","false","CALHM2"
"0.0","2.335159975806361E-4","17325","PRSS27","false","PRSS27"
"0.0","5.638356775889566E-4","15627","TMEM204","false","TMEM204"
"0.0","0.0012516144693141982","13631","ERVMER34-1","false","ERVMER34-1"
"0.0","4.0152462777264275E-5","19412","FCGR1C","false","FCGR1C"
"0.0","4.574506152254784E-5","19377","REG3G","false","REG3G"
"0.0","0.0063905504458896326","8076","FIBIN","false","FIBIN"
"0.0","1.9031038185006739E-6","19598","RBMY1B","false","RBMY1B"
"0.0","0.001749281292704817","12617","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","7.498921042490252E-4","14980","ST8SIA2","false","ST8SIA2"
"0.0","0.007997391117724047","6798","TRGV3","false","TRGV3"
"0.0","0.002200377367105112","11920","PLD5","false","PLD5"
"0.0","0.023727516267938602","590","FFAR1","true","FFAR1"
"0.0","0.007280958627384625","7363","ST8SIA6","false","ST8SIA6"
"0.0","1.0241474502600358E-4","18979","OR10G2","false","OR10G2"
"0.0","2.2028520376659154E-4","17400","LOC100509457","false","LOC100509457"
"0.0","4.845003113461205E-5","19358","OR6A2","false","OR6A2"
"0.0","2.920484296724803E-7","19614","PRIMA1","false","PRIMA1"
"0.0","9.980587252591268E-7","19608","OR4A15","false","OR4A15"
"0.0","1.4980900142774224E-4","18309","XKRY2","false","XKRY2"
"0.0","4.7479001405112284E-5","19363","OR6N1","false","OR6N1"
"0.0","3.0347835211169047E-7","19613","NKX6-2","false","NKX6-2"
"0.0","0.00578702639775819","8553","OR51V1","false","OR51V1"
"0.0","9.423893369164149E-5","19057","DHRS4L1","false","DHRS4L1"
"0.0","1.3573624055014189E-5","19528","PMS2P5","false","PMS2P5"
"0.0","2.1214427639092834E-4","17469","PRM3","false","PRM3"
"0.0","2.5656711213077057E-4","17179","BPIFB6","false","BPIFB6"
"0.0","2.412997102877563E-6","19590","POTEH","false","POTEH"
"0.0","9.33506171966386E-5","19062","SCP2D1","false","SCP2D1"
"0.0","1.0914758905252928E-4","18901","APOL5","false","APOL5"
"0.0","0.0034598839351116318","10515","OR7E24","false","OR7E24"
"0.0","8.06806599395744E-5","19183","GAS8-AS1","false","GAS8-AS1"
"0.0","8.342114834696399E-5","19171","HOXA6","false","HOXA6"
"0.0","1.058632105706639E-4","18917","OR4K3","false","OR4K3"
"0.0","3.3700629908966356E-5","19445","TAS2R39","false","TAS2R39"
"0.0","7.93489554024342E-5","19192","LOC283788","false","LOC283788"
"0.0","1.1625320997160241E-4","18840","ATP5L2","false","ATP5L2"
"0.0","5.092579762558664E-5","19348","HSD17B1P1","false","HSD17B1P1"
"0.0","7.572006876641142E-5","19217","PGA3","false","PGA3"
"0.0","1.1933797877242778E-4","18819","RPEL1","false","RPEL1"
"0.0","0.0010640798965377168","14082","ACTRT2","false","ACTRT2"
"0.0","1.0156010501591343E-4","19011","IL17D","false","IL17D"
"0.0","6.003425724157775E-5","19297","GCNT4","false","GCNT4"
"0.0","1.9762885995650894E-6","19597","VNN3","false","VNN3"
"0.0","2.0522596863278532E-5","19496","PRR25","false","PRR25"
"0.0","2.9388005920960808E-5","19461","OR2A2","false","OR2A2"
"0.0","1.0970422756951886E-4","18896","TMEM178A","false","TMEM178A"
"0.0","5.219000683519167E-7","19611","OR2T12","false","OR2T12"
"0.0","6.317597529171984E-5","19285","FAM92B","false","FAM92B"
"0.0","1.842640936337182E-4","17652","PAGE2B","false","PAGE2B"
"0.0","4.86422069982535E-4","15962","VEPH1","false","VEPH1"
"0.0","2.154474773535548E-4","17438","TMEM132E","false","TMEM132E"
"0.0","9.645326568836083E-5","19039","OR14J1","false","OR14J1"
"0.0","2.3976772436989346E-5","19486","CATSPER2","false","CATSPER2"
"0.0","1.8484958719124174E-5","19502","GOLGA6L6","false","GOLGA6L6"
"0.0","9.355160199805621E-5","19060","RTP1","false","RTP1"
"0.0","1.9065792214115402E-4","17616","OVOS2","false","OVOS2"
"0.0","4.80175031974952E-5","19360","OR1N1","false","OR1N1"
"0.0","3.8875827788470196E-4","16419","TMEM116","false","TMEM116"
"0.0","0.00825214104239538","6574","GPAT2","false","GPAT2"
"0.0","2.2267887085655805E-5","19490","LOC146880","false","LOC146880"
"0.0","1.5162740888110822E-4","18042","TAS2R38","false","TAS2R38"
"0.0","2.7967208562132407E-4","17015","ALG1L","false","ALG1L"
"0.0","3.5397857988306152E-6","19578","SPDYE3","false","SPDYE3"
"0.0","1.367200709502249E-4","18430","DUX4L8","false","DUX4L8"
"0.0","1.0914758905252928E-4","18900","OR13A1","false","OR13A1"
"0.0","2.355662152165713E-4","17315","OR11G2","false","OR11G2"
"0.0","9.78271287418704E-6","19546","C8orf22","false","C8orf22"
"0.0","6.358967377477655E-5","19281","CPT1C","false","CPT1C"
"0.0","2.3850338447536484E-4","17293","CLLU1OS","false","CLLU1OS"
"0.0","2.5631355296242914E-4","17183","HES3","false","HES3"
"0.0","0.00578702639775819","8552","IL19","false","IL19"
"0.0","6.821191001645695E-5","19258","FUNDC2P2","false","FUNDC2P2"
"0.0","3.2354434183140795E-4","16747","ZNF321P","false","ZNF321P"
"0.0","1.7712366551977308E-4","17715","ADAM29","false","ADAM29"
"0.0","2.0416945430929326E-4","17519","F8A2","false","F8A2"
"0.0","1.0044707720680476E-5","19544","ARL9","false","ARL9"
"0.0","3.320764259567528E-4","16703","CPXCR1","false","CPXCR1"
"0.0","1.2465043376773497E-4","18667","OR52N4","false","OR52N4"
"0.0","2.958198571233879E-5","19459","ARSD","false","ARSD"
"0.0","5.6792570023536335E-5","19314","PRY","false","PRY"
"0.0","6.458445203369788E-5","19277","UGT1A3","false","UGT1A3"
"0.0","2.540411473212378E-4","17201","OR5M8","false","OR5M8"
"0.0","1.440711616074658E-4","18373","HCRT","false","HCRT"
"0.0","3.821753738994968E-4","16448","ARMS2","false","ARMS2"
"0.0","1.7519980673321616E-4","17734","ASAH2","false","ASAH2"
"0.0","4.960526561899991E-5","19354","PCDHB9","false","PCDHB9"
"0.0","1.6179147625746383E-4","17868","UGT1A8","false","UGT1A8"
"0.0","0.01395855666282087","2961","BTNL2","false","BTNL2"
"0.0","2.527487661814982E-4","17209","PMS2P3","false","PMS2P3"
"0.0","1.8224591939783373E-4","17666","LRRC74A","false","LRRC74A"
"0.0","2.660741859184582E-4","17115","DBNDD1","false","DBNDD1"
"0.0","2.7054902814256966E-5","19475","BEND6","false","BEND6"
"0.0","8.203948604126963E-4","14729","C10orf53","false","C10orf53"
"0.0","7.957843360949128E-5","19189","ACTRT3","false","ACTRT3"
"0.0","3.3274565624775586E-4","16696","NOBOX","false","NOBOX"
"0.0","4.881018504176888E-5","19357","OR2H2","false","OR2H2"
"0.0","7.975186649836133E-5","19186","ZNF737","false","ZNF737"
"0.0","0.011181188121408201","4345","ADAM7","false","ADAM7"
"0.0","2.4677376522985316E-4","17249","KIF25","false","KIF25"
"0.0","4.4258921283655066E-5","19391","OR4X2","false","OR4X2"
"0.0","1.5690868901160795E-4","17935","CPXM2","false","CPXM2"
"0.0","5.056025481510543E-4","15864","RFNG","false","RFNG"
"0.0","1.6815736110957087E-4","17818","PSAPL1","false","PSAPL1"
"0.0","4.89835004754482E-4","15944","TNFSF12-TNFSF13","false","TNFSF12-TNFSF13"
"0.0","7.40574733494697E-5","19235","BTBD17","false","BTBD17"
"0.0","1.448172546031815E-4","18362","BPIFC","false","BPIFC"
"0.0","9.795704109839759E-5","19030","OR2T2","false","OR2T2"
"0.0","1.7209259708395679E-4","17754","OR5L1","false","OR5L1"
"0.0","1.5390627418224734E-4","18022","FAM169B","false","FAM169B"
"0.0","1.9107441229840422E-4","17614","TPI1P2","false","TPI1P2"
"0.0","1.8713428501727946E-4","17639","GSX2","false","GSX2"
"0.0","1.4248204606856187E-5","19520","OR2A25","false","OR2A25"
"0.0","2.750524091733708E-4","17039","BLOC1S5-TXNDC5","false","BLOC1S5-TXNDC5"
"0.0","0.003502065540179129","10464","OR1A1","false","OR1A1"
"0.0","1.0522514336097685E-4","18920","LOC646938","false","LOC646938"
"0.0","5.5733786595948475E-5","19318","CRISP1","false","CRISP1"
"0.0","6.2134793980139065E-6","19561","UGT2A1","false","UGT2A1"
"0.0","0.003467862158780358","10506","STARD6","false","STARD6"
"0.0","0.007411346283758385","7267","SKOR1","false","SKOR1"
"0.0","1.2922123215650596E-4","18628","LINC00266-1","false","LINC00266-1"
"0.0","5.5310938389707164E-5","19322","IGKV1D-13","false","IGKV1D-13"
"0.0","1.4619340650620885E-4","18352","NLRP8","false","NLRP8"
"0.0","4.213609420713753E-5","19401","GPR160","false","GPR160"
"0.0","4.1066005726132977E-4","16306","SLC5A10","false","SLC5A10"
"0.0","5.732147663816691E-4","15585","LEAP2","false","LEAP2"
"0.0","1.089100490132323E-5","19538","OR51B5","false","OR51B5"
"0.0","7.783386607672176E-5","19202","OR5M11","false","OR5M11"
"0.0","5.95610619339454E-5","19299","PCDHGB6","false","PCDHGB6"
"0.0","3.701907906137595E-4","16511","ZP2","false","ZP2"
"0.0","4.3322113854464935E-5","19396","MOGAT1","false","MOGAT1"
"0.0","5.4187284368195144E-5","19327","PCDHB4","false","PCDHB4"
"0.0","6.818666914697656E-6","19558","SULT6B1","false","SULT6B1"
"0.0","3.127102607613611E-4","16798","HOXC12","false","HOXC12"
"0.0","6.21587947715732E-4","15403","DLL3","false","DLL3"
"0.0","1.0859993573813044E-4","18905","BMPER","false","BMPER"
"0.0","0.00104367055643036","14134","GPR88","false","GPR88"
"0.0","3.265656289791463E-4","16732","PDILT","false","PDILT"
"0.0","6.887487939879025E-4","15185","HOXA4","false","HOXA4"
"0.0","3.0396829868482324E-4","16853","PROK1","false","PROK1"
"0.0","4.664617992728737E-4","16044","LHFP","false","LHFP"
"0.0","2.3660199310371213E-4","17305","PATE2","false","PATE2"
"0.0","2.3857344565295568E-4","17292","OR1A2","false","OR1A2"
"0.0","3.623125993463016E-5","19433","TAS2R50","false","TAS2R50"
"0.0","8.340175190982353E-5","19172","SLC5A9","false","SLC5A9"
"0.0","1.246242302492339E-4","18669","OR4E2","false","OR4E2"
"0.0","0.003458540637969269","10519","C7orf33","false","C7orf33"
"0.0","0.001973073505504788","12233","PLAC8L1","false","PLAC8L1"
"0.0","0.0010901869794119644","14013","RPS2P32","false","RPS2P32"
"0.0","0.0011122458875190621","13968","PRR27","false","PRR27"
"0.0","1.8395585248405567E-4","17656","OR52N5","false","OR52N5"
"0.0","8.033128877334693E-6","19552","OR6C4","false","OR6C4"
"1.0","0.9330402775353743","34","FOXE3","true","FOXE3"
"0.0","7.983271574476025E-4","14800","SPINK14","false","SPINK14"
"0.0","1.3456418140409093E-4","18514","OR2T33","false","OR2T33"
"0.0","8.301896471404927E-4","14702","RDH8","false","RDH8"
"0.0","0.001367406654125299","13358","WFDC11","false","WFDC11"
"0.0","9.507813091702622E-6","19547","FAM86B1","false","FAM86B1"
"0.0","3.007273806804752E-4","16884","OR12D3","false","OR12D3"
"0.0","4.594566953104287E-4","16070","CHRNA10","false","CHRNA10"
"0.0","2.5575645373478E-4","17187","LRIT3","false","LRIT3"
"0.0","0.006429330657239231","8029","C1orf95","false","C1orf95"
"0.0","1.507473583720762E-4","18136","OR1E1","false","OR1E1"
"0.0","4.20021354385906E-4","16261","SLC2A7","false","SLC2A7"
"0.0","4.26952251429789E-4","16222","LIPK","false","LIPK"
"0.0","5.718389393886617E-4","15593","POTEG","false","POTEG"
"0.0","3.962835145616577E-4","16384","ZNF253","false","ZNF253"
"0.0","2.3442403392460884E-4","17320","OSCAR","false","OSCAR"
"0.0","1.469376314185625E-4","18346","DPPA5","false","DPPA5"
"0.0","3.391465384327761E-4","16659","TEX40","false","TEX40"
"0.0","0.0016781867446849581","12749","FAM110D","false","FAM110D"
"0.0","0.001816226909757598","12499","C1orf210","false","C1orf210"
"0.0","2.4678453446930746E-4","17248","GBX2","false","GBX2"
"0.0","1.9206699166335672E-4","17607","PLSCR5","false","PLSCR5"
"0.0","5.795943533520342E-5","19308","C1orf177","false","C1orf177"
"0.0","0.021424161453661696","804","COX7A1","true","COX7A1"
"0.0","2.76251204591544E-6","19587","C2orf66","false","C2orf66"
"0.0","4.960526561899991E-5","19353","PCDHB18","false","PCDHB18"
"0.0","8.393113179749938E-5","19166","HS3ST6","false","HS3ST6"
"0.0","1.4907108899251157E-4","18313","SUN3","false","SUN3"
"0.0","0.01818098714148468","1421","KLRB1","true","KLRB1"
"0.0","0.0012674295674908658","13592","MFNG","false","MFNG"
"0.0","7.522103023736255E-4","14975","NKAIN3","false","NKAIN3"
"0.0","2.0082977340879398E-4","17550","SLAMF9","false","SLAMF9"
"0.0","0.00384414989604166","10141","MAMDC4","false","MAMDC4"
"0.0","0.002967023128513233","10995","C2orf27A","false","C2orf27A"
"0.0","0.008532227553594403","6353","LYZL6","false","LYZL6"
"0.0","5.219723885338962E-4","15781","GLT6D1","false","GLT6D1"
"0.0","0.0010897120316846931","14014","SPAG11A","false","SPAG11A"
"0.0","5.105200745229698E-4","15837","DEFB116","false","DEFB116"
"0.0","2.663638540209208E-4","17111","OR10A4","false","OR10A4"
"0.0","1.038086506514433E-4","18937","TRIM6-TRIM34","false","TRIM6-TRIM34"
"0.0","0.009179660370839478","5818","PI15","false","PI15"
"0.0","6.216114968122594E-4","15402","C3orf49","false","C3orf49"
"0.0","1.2882558244870532E-4","18631","TEX30","false","TEX30"
"0.0","2.2579443677793812E-4","17372","ANKRD20A2","false","ANKRD20A2"
"0.0","2.7794904394539544E-4","17025","DEFB114","false","DEFB114"
"0.0","0.006614112912316985","7882","LOC100128554","false","LOC100128554"
"0.0","5.070948091308506E-4","15854","LINC01565","false","LINC01565"
"0.0","5.319503775367831E-4","15745","MMP19","false","MMP19"
"0.0","0.004243665177752105","9767","MS4A10","false","MS4A10"
"0.0","4.01254716436315E-4","16358","RARRES2","false","RARRES2"
"0.0","0.006255423859445734","8175","PRELID2","false","PRELID2"
"0.0","0.007204822458779589","7406","TMEM257","false","TMEM257"
"0.0","4.74382951823791E-4","16015","C15orf32","false","C15orf32"
"0.0","0.009015601064993056","5939","DEFB107A","false","DEFB107A"
"0.0","2.473349649793187E-6","19589","TSPY8","false","TSPY8"
"0.0","3.752384606101433E-4","16488","OR2T10","false","OR2T10"
"0.0","0.0067741963243920355","7770","C10orf91","false","C10orf91"
"0.0","9.257044577427443E-4","14453","UMODL1","false","UMODL1"
"0.0","4.1055449135394976E-4","16308","TAS2R42","false","TAS2R42"
"0.0","0.007137108288815866","7466","RLN2","false","RLN2"
"0.0","4.964516917067933E-4","15912","PRAMEF9","false","PRAMEF9"
"0.0","2.5978803448320817E-4","17155","CDCP2","false","CDCP2"
"0.0","1.443197487674496E-4","18372","LGI2","false","LGI2"
"0.0","0.00650515233240498","7966","RETNLB","false","RETNLB"
"0.0","0.0010791432875154234","14046","OR1D4","false","OR1D4"
"0.0","2.2267887085655805E-5","19489","LOC613266","false","LOC613266"
"0.0","0.006657326695601432","7861","CEACAM16","false","CEACAM16"
"0.0","2.633860378400015E-4","17136","OR8B8","false","OR8B8"
"0.0","6.904218665092044E-6","19557","RSPH4A","false","RSPH4A"
"1.0","0.8645480531829814","67","CELA2A","true","CELA2A"
"0.0","4.315779518400146E-4","16198","NXNL2","false","NXNL2"
"0.0","0.0011901624216956574","13767","PMCH","false","PMCH"
"0.0","5.678590524394398E-4","15608","LINC00346","false","LINC00346"
"0.0","5.165358893090279E-4","15805","ASIC5","false","ASIC5"
"0.0","0.0012054937623717514","13730","NXPH1","false","NXPH1"
"0.0","9.533600583324064E-4","14368","ADAM18","false","ADAM18"
"0.0","0.0026759859513802485","11310","C2CD4B","false","C2CD4B"
"0.0","9.658968022036764E-4","14333","OR13G1","false","OR13G1"
"0.0","0.01709251527102354","1717","DEFB135","true","DEFB135"
"0.0","0.006483054966211124","7984","ZHX1-C8orf76","false","ZHX1-C8orf76"
"0.0","3.6243618969127934E-4","16551","GBX1","false","GBX1"
"0.0","2.8858886012244593E-6","19586","FOLR2","false","FOLR2"
"0.0","0.00123322826469329","13672","DEFB106A","false","DEFB106A"
"0.0","0.0019190750131475693","12324","PABPN1L","false","PABPN1L"
"0.0","0.010936602043229736","4502","FAM150B","false","FAM150B"
"0.0","0.006863045145615544","7689","LRRC17","false","LRRC17"
"0.0","8.551107228845905E-4","14627","SCGB1C1","false","SCGB1C1"
"0.0","2.480338940841091E-4","17243","C15orf53","false","C15orf53"
"0.0","4.837973918994144E-4","15973","SCRT1","false","SCRT1"
"0.0","1.1873366430495806E-4","18825","FABP6","false","FABP6"
"0.0","0.001114962600690142","13964","KIR2DS3","false","KIR2DS3"
"0.0","8.052492232218467E-4","14780","HS3ST4","false","HS3ST4"
"0.0","4.121556085622399E-4","16296","TPPP2","false","TPPP2"
"0.0","0.003606397031657602","10359","TPM3P9","false","TPM3P9"
"0.0","0.0011885190331391592","13769","CPQ","false","CPQ"
"0.0","0.0011981866997468557","13745","SLC28A2","false","SLC28A2"
"0.0","7.344692146936529E-5","19237","POM121L1P","false","POM121L1P"
"0.0","0.011206997892419317","4335","GPR34","false","GPR34"
"0.0","7.939198936471282E-5","19191","PTX4","false","PTX4"
"0.0","0.007527043925500189","7187","NPAP1","false","NPAP1"
"0.0","7.460188968749556E-4","14996","PIP5K1P1","false","PIP5K1P1"
"0.0","1.8212065832650748E-4","17667","OR5C1","false","OR5C1"
"0.0","0.0054243846598447925","8815","OR52B2","false","OR52B2"
"0.0","5.1669114988387054E-5","19343","NUGGC","false","NUGGC"
"0.0","8.524181284426037E-4","14637","SPDYE7P","false","SPDYE7P"
"0.0","0.0012826328468054377","13558","LAG3","false","LAG3"
"0.0","6.762703856036334E-5","19260","RPL23AP64","false","RPL23AP64"
"0.0","5.202197492859054E-4","15787","C1orf158","false","C1orf158"
"0.0","2.7347693661102223E-4","17053","AWAT2","false","AWAT2"
"0.0","0.015987904857181493","2104","C17orf78","false","C17orf78"
"0.0","1.365414875270977E-4","18431","OR52K2","false","OR52K2"
"0.0","0.0010840521978530099","14037","IL20","false","IL20"
"0.0","2.456127490269953E-5","19484","STPG1","false","STPG1"
"0.0","0.004846997525937159","9252","CDHR4","false","CDHR4"
"0.0","1.8332426223407856E-4","17658","TXNDC8","false","TXNDC8"
"0.0","0.0073754491190635195","7299","SLC26A4","false","SLC26A4"
"0.0","0.0014220651402665609","13244","DEFB125","false","DEFB125"
"0.0","0.0011950255770745773","13753","TSPAN16","false","TSPAN16"
"0.0","0.0079293628963925","6847","AGBL4","false","AGBL4"
"0.0","2.6042590142319217E-4","17151","GAGE8","false","GAGE8"
"0.0","0.007060886167914499","7530","CMKLR1","false","CMKLR1"
